City,State/Province,Country/Retion,Latitude,Longitude,Class Year,Class Year Date
Edmonton,,Alberta,,,1976,1/1/1976
Edmonton,,Alberta,,,1977,1/1/1977
Edmonton,,Alberta,,,1978,1/1/1978
Buenos Aires,,Argentina,,,2011,1/1/2011
Oranjestad,,Aruba,,,2002,1/1/2002
South Fremantle,,Australia,,,2002,1/1/2002
Sydney,,Australia,,,2017,1/1/2017
Sydney,,Australia,,,2020,1/1/2020
Tanunda,SA,Australia,,,2015,1/1/2015
Tanunda,,Australia,,,2016,1/1/2016
Vaucluse,,Australia,,,2014,1/1/2014
Vienna,,Austria,,,1977,1/1/1977
Vienna,,Austria,,,1979,1/1/1979
Vienna,,Austria,,,1980,1/1/1980
Vienna,,Austria,,,2016,1/1/2016
Baku,,Azerbaijan,,,2009,1/1/2009
Chittagong,,Bangladesh,,,2012,1/1/2012
Dhaka,,Bangladesh,,,1997,1/1/1997
Dhaka,,Bangladesh,,,2000,1/1/2000
Dhaka,,Bangladesh,,,2000,1/1/2000
Dhaka,,Bangladesh,,,2001,1/1/2001
Dhaka,,Bangladesh,,,2001,1/1/2001
Dhaka,,Bangladesh,,,2004,1/1/2004
Dhaka,,Bangladesh,,,2005,1/1/2005
Dhaka,,Bangladesh,,,2006,1/1/2006
Dhaka,,Bangladesh,,,2007,1/1/2007
Dhaka,,Bangladesh,,,2008,1/1/2008
Dhaka,,Bangladesh,,,2015,1/1/2015
Dhaka,,Bangladesh,,,2018,1/1/2018
Brussels,,Belgium,,,1972,1/1/1972
Brussels,,Belgium,,,1972,1/1/1972
Brussels,,Belgium,,,2000,1/1/2000
Brussels,,Belgium,,,2013,1/1/2013
Brussels,,Belgium,,,2013,1/1/2013
Dangriga,,Belize,,,2007,1/1/2007
Hamilton Parish,,Bermuda,,,2020,1/1/2020
La Paz,,Bolivia,,,2006,1/1/2006
La Paz,,Bolivia,,,2009,1/1/2009
La Paz,,Bolivia,,,2011,1/1/2011
La Paz,,Bolivia,,,2015,1/1/2015
Sarajevo,,Bosnia and Herzegovina,,,2008,1/1/2008
Gaborone,,Botswana,,,2004,1/1/2004
Gaborone,,Botswana,,,2011,1/1/2011
Gaborone,,Botswana,,,2019,1/1/2019
Barueri,,Brazil,,,2016,1/1/2016
Brasilia,,Brazil,,,1974,1/1/1974
Livramento,,Brazil,,,2019,1/1/2019
Porto Alegre,,Brazil,,,2015,1/1/2015
Porto Alegre,,Brazil,,,2018,1/1/2018
Quatro,,Brazil,,,2017,1/1/2017
Rio de Janeiro,,Brazil,,,1970,1/1/1970
Sao Paolo,,Brazil,,,1996,1/1/1996
