Industry,City,State,Zip Code,Latitude,Longitude,Major 1,Major 2,Major 3,Major 4,Major 5,Class Year,Class Year Date
Human Resources,Anchorage,AK,99501,61.2189229,-149.8503728,History,,,,,1969,1/1/1969
Business and Commerce,Anchorage,AK,99502,61.1683028,-149.9860425,No Major,,,,,1996,1/1/1996
Environment and Recreation,Anchorage,AK,99502,61.1683028,-149.9860425,Biology,,,,,1995,1/1/1995
Sciences,Anchorage,AK,99504,61.2096788,-149.7484359,Geology,,,,,2004,1/1/2004
Social Service,Anchorage,AK,99504,61.2096788,-149.7484359,No Major,,,,,1998,1/1/1998
Homemaking,Anchorage,AK,99507,61.148769,-149.8010811,Psychology,,,,,1980,1/1/1980
Environment and Recreation,Anchorage,AK,99508,61.1995461,-149.823974,Environmental Studies,,,,,2011,1/1/2011
Healthcare,Anchorage,AK,99508,61.1995461,-149.823974,Biology,,,,,1963,1/1/1963
Healthcare,Anchorage,AK,99515,61.1199289,-149.8936504,No Major,,,,,1966,1/1/1966
Environment and Recreation,Anchorage,AK,99516,61.0661835,-149.6235057,Geology,,,,,1983,1/1/1983
Environment and Recreation,Anchorage,AK,99516,61.0661835,-149.6235057,Geology,,,,,1985,1/1/1985
Communications and Media,Anchorage,AK,99517,61.1900276,-149.9430748,Philosophy,Environmental Studies,,,,2003,1/1/2003
Healthcare,Anchorage,AK,99517,61.1900276,-149.9430748,Biology,,,,,2005,1/1/2005
Military/Protective Services,Eagle River,AK,99577,61.3293186,-149.56805,Environmental Studies,,,,,2017,1/1/2017
Service/Hospitality,Fritz Creek,AK,99603,59.7361111,-151.2952779,Biology,,,,,2003,1/1/2003
Education,Kenai,AK,99611,60.5544444,-151.2583333,Biology,,,,,1967,1/1/1967
Legal Professions,Kenai,AK,99611,60.5544444,-151.2583333,No Major,,,,,1973,1/1/1973
Environment and Recreation,King Salmon,AK,99613,58.6883251,-156.661351,Biology,,,,,1991,1/1/1991
Environment and Recreation,Seldovia,AK,99663,59.4380556,-151.7113889,Geology,,,,,1999,1/1/1999
Environment and Recreation,Seldovia,AK,99663,59.4380556,-151.7113889,Biology,,,,,2001,1/1/2001
Education,Soldotna,AK,99669,60.4877778,-151.0583332,English,,,,,1975,1/1/1975
Performing Arts,Sutton,AK,99674,61.7097008,-148.8765854,Theater Arts,,,,,2006,1/1/2006
Human Resources,Fairbanks,AK,99706,64.038255,-144.583411,Biology,,,,,1978,1/1/1978
Other,Fairbanks,AK,99706,64.038255,-144.583411,Geology,,,,,1978,1/1/1978
Environment and Recreation,Fairbanks,AK,99708,64.84,-147.7199999,Geology,,,,,1979,1/1/1979
"Libraries, Archives, and Museums",Fairbanks,AK,99709,64.8377778,-147.7163888,Studio Art,,,,,2003,1/1/2003
Military/Protective Services,Fairbanks,AK,99709,64.8377778,-147.7163888,No Major,,,,,1975,1/1/1975
Public Service,Fairbanks,AK,99709,64.8377778,-147.7163888,Geology,,,,,1986,1/1/1986
Sciences,Fairbanks,AK,99709,64.8377778,-147.7163888,Physics,,,,,1991,1/1/1991
Other,Ester,AK,99725,64.8456295,-148.0187326,Geology,,,,,1978,1/1/1978
Public Service,Delta Junction,AK,99737,64.0377778,-145.7322221,History,,,,,1968,1/1/1968
Healthcare,Juneau,AK,99801,58.3019444,-134.4197221,American Studies,,,,,1985,1/1/1985
Student,Juneau,AK,99801,58.3019444,-134.4197221,Biology,,,,,2005,1/1/2005
Counseling,Juneau,AK,99802,58.3,-134.4100001,Geology,Computer Science,,,,1986,1/1/1986
Arts and Design,Sitka,AK,99835,56.9973714,-135,Biology,,,,,2008,1/1/2008
Counseling,Sitka,AK,99835,56.9973714,-135,Studio Art,,,,,1979,1/1/1979
Healthcare,Sitka,AK,99835,56.9973714,-135,No Major,,,,,1999,1/1/1999
Homemaking,Sitka,AK,99835,56.9973714,-135,Sociology,Anthropology,,,,1990,1/1/1990
Military/Protective Services,Sitka,AK,99835,56.9973714,-135,Political Science,,,,,1968,1/1/1968
Social Service,Sitka,AK,99835,56.9973714,-135,English,,,,,2007,1/1/2007
Education,Ketchikan,AK,99901,55.3422222,-131.6461112,No Major,,,,,1956,1/1/1956
Service/Hospitality,Ketchikan,AK,99901,55.3422222,-131.6461112,Sociology,Anthropology,,,,2000,1/1/2000
Legal Professions,Birmingham,AL,35203,33.5178769,-86.8094808,English,,,,,2013,1/1/2013
Research and Development,Birmingham,AL,35205,33.489895,-86.8094808,Chemistry,,,,,2016,1/1/2016
Business and Commerce,Birmingham,AL,35242,33.4165524,-86.681253,English,,,,,1969,1/1/1969
Student,Huntsville,AL,35801,34.7364493,-86.5501654,Mathematics,Physics,,,,2006,1/1/2006
Arts and Design,Huntsville,AL,35806,34.7624294,-86.6913222,English,,,,,2005,1/1/2005
Business and Commerce,Montgomery,AL,36106,32.3512837,-86.2412543,No Major,,,,,1971,1/1/1971
Clergy and Religious Leadership,Dothan,AL,36301,31.1348407,-85.3962769,Religion,,,,,1975,1/1/1975
Business and Commerce,Gulf Shores,AL,36542,30.2460361,-87.7008193,Mathematics,,,,,1970,1/1/1970
Communications and Media,Mobile,AL,36604,30.6804215,-88.0656445,History,,,,,1984,1/1/1984
Other,Mobile,AL,36685,30.69,-88.04,Economics,,,,,1978,1/1/1978
Education,Mobile,AL,36695,30.620114,-88.2753144,French,,,,,1995,1/1/1995
Counseling,Conway,AR,72032,35.0819701,-92.3616203,Religion,,,,,1971,1/1/1971
"Banking, Finance, and Investment",Little Rock,AR,72211,34.7446913,-92.4159308,Studio Art,,,,,1981,1/1/1981
Human Resources,Little Rock,AR,72223,34.7710126,-92.4801989,Spanish,,,,,1968,1/1/1968
Healthcare,Jonesboro,AR,72404,35.8037083,-90.7722974,No Major,,,,,1978,1/1/1978
Public Service,Eureka Springs,AR,72631,36.4011825,-93.7379711,No Major,,,,,1969,1/1/1969
Clergy and Religious Leadership,Mountain Home,AR,72654,36.34,-92.39,No Major,,,,,1955,1/1/1955
Arts and Design,Fayetteville,AR,72701,35.9980929,-94.0899911,Studio Art,,,,,2009,1/1/2009
"Libraries, Archives, and Museums",Fayetteville,AR,72703,36.1192532,-94.0388918,Special Major,Japanese,,,,2011,1/1/2011
"Libraries, Archives, and Museums",Fayetteville,AR,72703,36.1192532,-94.0388918,English,,,,,2005,1/1/2005
Homemaking,Bentonville,AR,72712,36.3840171,-94.2128337,No Major,,,,,1964,1/1/1964
Homemaking,Bella Vista,AR,72714,36.4704514,-94.2128337,Studio Art,,,,,1949,1/1/1949
Real Estate,Bella Vista,AR,72714,36.4704514,-94.2128337,Chemistry,,,,,1958,1/1/1958
Legal Professions,Bella Vista,AR,72715,36.4779621,-94.3051542,Political Science,,,,,1963,1/1/1963
Military/Protective Services,Farmington,AR,72730,36.0420248,-94.2471515,Chemistry,"Science, Technology, and Public Policy",,,,1985,1/1/1985
Agriculture and Forestry,Lowell,AR,72745,36.2553543,-94.1307587,No Major,,,,,1972,1/1/1972
Business and Commerce,Springdale,AR,72762,36.1675026,-94.2128337,Chemistry,Economics,,,,1964,1/1/1964
"Banking, Finance, and Investment",Phoenix,AZ,85003,33.4495511,-112.0789355,Economics,Mathematics,,,,1976,1/1/1976
Arts and Design,Phoenix,AZ,85004,33.4528292,-112.0685027,No Major,,,,,1956,1/1/1956
Arts and Design,Phoenix,AZ,85006,33.4636012,-112.0535987,No Major,,,,,1961,1/1/1961
Social Service,Phoenix,AZ,85013,33.5080943,-112.0863874,Political Science,,,,,2004,1/1/2004
Education,Phoenix,AZ,85014,33.5083316,-112.0565795,Art History,,,,,2002,1/1/2002
Business and Commerce,Phoenix,AZ,85018,33.4962205,-111.9641728,No Major,,,,,1960,1/1/1960
Public Service,Phoenix,AZ,85018,33.4962205,-111.9641728,English,Art History,,,,1965,1/1/1965
Insurance,Phoenix,AZ,85028,33.5725815,-112.0118669,Economics,,,,,1985,1/1/1985
Education,Phoenix,AZ,85032,33.6364503,-112.0118669,English,,,,,1987,1/1/1987
Insurance,Phoenix,AZ,85041,33.3885174,-112.1132142,Religion,,,,,1997,1/1/1997
Computers/IT,Phoenix,AZ,85044,33.3211123,-111.9880199,Sociology,Anthropology,,,,1971,1/1/1971
Computers/IT,Phoenix,AZ,85048,33.2909097,-112.0357137,Chemistry,,,,,1987,1/1/1987
Business and Commerce,Phoenix,AZ,85050,33.6629442,-112.0182329,No Major,,,,,1974,1/1/1974
Public Service,Anthem,AZ,85086,33.8652315,-112.1357339,Political Science,,,,,1959,1/1/1959
Insurance,New River,AZ,85087,33.9244074,-112.1191757,Physics,,,,,1978,1/1/1978
Business and Commerce,Apache Junction,AZ,85119,33.4150485,-111.5495777,Mathematics,,,,,1966,1/1/1966
Student,Mesa,AZ,85201,33.4329528,-111.8449346,Religion,,,,,2009,1/1/2009
Engineering,Mesa,AZ,85202,33.379424,-111.8747445,Physics,,,,,1956,1/1/1956
Student,Mesa,AZ,85202,33.379424,-111.8747445,Philosophy,,,,,2013,1/1/2013
Homemaking,Mesa,AZ,85206,33.3951613,-111.7018452,History,,,,,1963,1/1/1963
Legal Professions,Mesa,AZ,85206,33.3951613,-111.7018452,Economics,,,,,1963,1/1/1963
Other,Mesa,AZ,85207,33.459458,-111.642224,No Major,,,,,1968,1/1/1968
Healthcare,Mesa,AZ,85215,33.519545,-111.5468301,Economics,,,,,1949,1/1/1949
Engineering,Chandler,AZ,85226,33.2872209,-111.9403254,Physics,,,,,1985,1/1/1985
Sciences,Chandler,AZ,85226,33.2872209,-111.9403254,Biology,,,,,1996,1/1/1996
Student,Gilbert,AZ,85233,33.3519301,-111.8210866,Mathematics,,,,,2006,1/1/2006
Real Estate,Sun Lakes,AZ,85248,33.2181797,-111.8759103,No Major,,,,,1954,1/1/1954
Education,Scottsdale,AZ,85250,33.5243639,-111.8985922,No Major,,,,,1979,1/1/1979
Legal Professions,Scottsdale,AZ,85252,33.4872628,-111.92615,Political Science,,,,,1992,1/1/1992
Legal Professions,Paradise Valley,AZ,85253,33.5388471,-111.9641728,Mathematics,,,,,1976,1/1/1976
Marketing,Paradise Valley,AZ,85253,33.5388471,-111.9641728,No Major,,,,,1961,1/1/1961
Other,Paradise Valley,AZ,85253,33.5388471,-111.9641728,History,,,,,1961,1/1/1961
Homemaking,Scottsdale,AZ,85255,33.6803004,-111.8330106,No Major,,,,,1948,1/1/1948
Homemaking,Scottsdale,AZ,85255,33.6803004,-111.8330106,Political Science,Environmental Studies,,,,1996,1/1/1996
Homemaking,Scottsdale,AZ,85255,33.6803004,-111.8330106,Religion,,,,,1983,1/1/1983
Homemaking,Scottsdale,AZ,85257,33.468848,-111.910516,No Major,,,,,1952,1/1/1952
Service/Hospitality,Scottsdale,AZ,85257,33.468848,-111.910516,No Major,,,,,1983,1/1/1983
Computers/IT,Scottsdale,AZ,85258,33.5669912,-111.8985922,No Major,,,,,1968,1/1/1968
Healthcare,Scottsdale,AZ,85260,33.6160293,-111.8926303,Psychology,,,,,1991,1/1/1991
Business and Commerce,Scottsdale,AZ,85262,33.791108,-111.8091625,Economics,,,,,1963,1/1/1963
Computers/IT,Scottsdale,AZ,85262,33.791108,-111.8091625,English,,,,,1963,1/1/1963
Homemaking,Scottsdale,AZ,85262,33.791108,-111.8091625,Music,,,,,1963,1/1/1963
"Banking, Finance, and Investment",Rio Verde,AZ,85263,33.7225429,-111.6756942,Economics,,,,,1960,1/1/1960
"Banking, Finance, and Investment",Rio Verde,AZ,85263,33.7225429,-111.6756942,No Major,,,,,1970,1/1/1970
"Libraries, Archives, and Museums",Fountain Hills,AZ,85268,33.6042079,-111.7256936,Sociology,,,,,1960,1/1/1960
"Banking, Finance, and Investment",Tempe,AZ,85281,33.4366655,-111.9403254,Economics,,,,,1988,1/1/1988
Military/Protective Services,Tempe,AZ,85281,33.4366655,-111.9403254,No Major,,,,,1965,1/1/1965
Research and Development,Tempe,AZ,85281,33.4366655,-111.9403254,Physics,,,,,1994,1/1/1994
Student,Tempe,AZ,85282,33.3897576,-111.9343636,No Major,,,,,2003,1/1/2003
Business and Commerce,Tempe,AZ,85283,33.3684114,-111.9343636,Sociology,,,,,1968,1/1/1968
Homemaking,Tempe,AZ,85283,33.3684114,-111.9343636,French,,,,,1969,1/1/1969
Student,Tempe,AZ,85283,33.3684114,-111.9343636,Psychology,Neuroscience,,,,2012,1/1/2012
Homemaking,Gilbert,AZ,85296,33.3345698,-111.7383162,Asian Studies,East Asian Studies,,,,1991,1/1/1991
Education,Cave Creek,AZ,85331,33.8333716,-111.9507042,No Major,,,,,1962,1/1/1962
Human Resources,Laveen,AZ,85339,33.3628227,-112.169317,Special Major,,,,,1979,1/1/1979
"Banking, Finance, and Investment",Sun City,AZ,85351,33.6020658,-112.280129,Economics,,,,,1954,1/1/1954
Engineering,Sun City West,AZ,85375,33.6587324,-112.3456985,Geology,,,,,1957,1/1/1957
Arts and Design,Carefree,AZ,85377,33.8232982,-111.9149875,History,,,,,1977,1/1/1977
Real Estate,Carefree,AZ,85377,33.8232982,-111.9149875,Political Science,Economics,English,,,1959,1/1/1959
Computers/IT,Peoria,AZ,85383,33.7868136,-112.28609,French,,,,,1968,1/1/1968
"Banking, Finance, and Investment",Goodyear,AZ,85395,33.4754919,-112.3924311,Economics,,,,,1973,1/1/1973
Student,Buckeye,AZ,85396,33.5183366,-112.6913764,Sociology,Anthropology,,,,1993,1/1/1993
Business and Commerce,Payson,AZ,85541,34.2308684,-111.3251355,Chemistry,,,,,1960,1/1/1960
Public Service,Payson,AZ,85541,34.2308684,-111.3251355,Sociology,Anthropology,,,,1987,1/1/1987
Arts and Design,Bisbee,AZ,85603,31.4481547,-109.9284084,French,,,,,1965,1/1/1965
Education,Bisbee,AZ,85603,31.4481547,-109.9284084,Sociology,,,,,1967,1/1/1967
Computers/IT,Green Valley,AZ,85614,31.8542511,-110.9937019,Physics,,,,,1957,1/1/1957
Counseling,Green Valley,AZ,85614,31.8542511,-110.9937019,No Major,,,,,1959,1/1/1959
Student,Nogales,AZ,85621,31.3403775,-110.9342532,Latin American Studies,,,,,2001,1/1/2001
Homemaking,Green Valley,AZ,85622,31.836845,-111.0698858,No Major,,,,,1949,1/1/1949
Marketing,Green Valley,AZ,85622,31.836845,-111.0698858,Psychology,,,,,1950,1/1/1950
Counseling,Oracle,AZ,85623,32.6109054,-110.7709348,Biology,,,,,1969,1/1/1969
Engineering,Sahuarita,AZ,85629,31.9575818,-110.955646,Physics,,,,,1979,1/1/1979
Communications and Media,Sierra Vista,AZ,85650,31.5091589,-110.1640846,French,,,,,1975,1/1/1975
Real Estate,Marana,AZ,85653,32.436381,-111.2224422,No Major,,,,,1957,1/1/1957
Social Service,Tucson,AZ,85701,32.2147915,-110.9715269,English,,,,,1988,1/1/1988
Education,Tucson,AZ,85704,32.3395031,-110.9864294,Sociology,,,,,1962,1/1/1962
Healthcare,Tucson,AZ,85704,32.3395031,-110.9864294,No Major,,,,,1969,1/1/1969
Performing Arts,Tucson,AZ,85704,32.3395031,-110.9864294,No Major,,,,,1973,1/1/1973
Sciences,Tucson,AZ,85704,32.3395031,-110.9864294,Geology,,,,,1962,1/1/1962
Performing Arts,Tucson,AZ,85715,32.2514545,-110.8374104,Music,,,,,1997,1/1/1997
Arts and Design,Tucson,AZ,85716,32.2479302,-110.9208593,Studio Art,Spanish,,,,2018,1/1/2018
Computers/IT,Tucson,AZ,85716,32.2479302,-110.9208593,History,,,,,1968,1/1/1968
Arts and Design,Tucson,AZ,85718,32.3389931,-110.9268201,No Major,,,,,1977,1/1/1977
Arts and Design,Tucson,AZ,85718,32.3389931,-110.9268201,Studio Art,,,,,1962,1/1/1962
"Banking, Finance, and Investment",Tucson,AZ,85718,32.3389931,-110.9268201,Economics,,,,,1999,1/1/1999
Business and Commerce,Tucson,AZ,85718,32.3389931,-110.9268201,No Major,,,,,1953,1/1/1953
Environment and Recreation,Tucson,AZ,85718,32.3389931,-110.9268201,English,,,,,1941,1/1/1941
